date,year,album,song,artist,danceability,energy,speechiness,loudness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
10/29/21,2021,=,Leave Your Life,Ed Sheeran,0.578,0.558,0.0872,-5.438,0.236,0,0.143,0.54,75.087,223866
10/29/21,2021,=,Collide,Ed Sheeran,0.672,0.73,0.0372,-4.77,0.113,0,0.0612,0.559,123.969,210213
10/29/21,2021,=,2step,Ed Sheeran,0.763,0.661,0.056,-5.592,0.169,0,0.117,0.632,95.002,153626
10/29/21,2021,=,Stop The Rain,Ed Sheeran,0.686,0.765,0.118,-4.778,0.0122,0,0.127,0.743,99.998,203493
10/29/21,2021,=,Love In Slow Motion,Ed Sheeran,0.485,0.54,0.0253,-5.4,0.668,0,0.0849,0.426,62.631,190933
10/29/21,2021,=,Visiting Hours,Ed Sheeran,0.471,0.396,0.0336,-6.654,0.77,0,0.0729,0.263,149.609,215506
10/29/21,2021,=,Sandman,Ed Sheeran,0.822,0.3,0.0673,-8.034,0.882,9.15E-05,0.0665,0.734,125.951,259333
10/29/21,2021,=,Be Right Now,Ed Sheeran,0.501,0.684,0.0566,-6.706,0.00494,0.000478,0.0524,0.442,131.952,211080
10/29/21,2021,2step (The Remixes),2step (feat. Lil Baby),Ed Sheeran,0.693,0.643,0.0828,-5.867,0.138,0,0.108,0.477,95.055,163449
10/29/21,2021,2step (The Remixes),2step (feat. Ultimo),Ed Sheeran,0.727,0.69,0.0721,-5.063,0.16,0,0.137,0.685,94.935,154160
10/29/21,2021,2step (The Remixes),2step (feat. Potter Payper),Ed Sheeran,0.726,0.671,0.161,-5.402,0.14,0,0.139,0.552,95.053,153446
10/29/21,2021,2step (The Remixes),2step (feat. Antytila),Ed Sheeran,0.506,0.695,0.105,-5.185,0.235,0,0.151,0.599,93.75,153213
10/29/21,2021,2step (The Remixes),2step (feat. Leto),Ed Sheeran,0.73,0.701,0.0447,-5.318,0.273,0,0.0657,0.522,94.97,154453
10/29/21,2021,2step (The Remixes),2step (feat. Ellinoora),Ed Sheeran,0.705,0.741,0.0683,-4.33,0.167,0,0.216,0.615,94.962,153373
10/29/21,2021,2step (The Remixes),2step (feat. 1.Cuz),Ed Sheeran,0.674,0.663,0.084,-5.084,0.157,0,0.13,0.617,94.818,153226
10/29/21,2021,2step (The Remixes),2step (feat. Budjerah),Ed Sheeran,0.727,0.621,0.0555,-4.784,0.212,0,0.114,0.565,94.958,153426
10/29/21,2021,2step (The Remixes),2step (Star.One Remix),Ed Sheeran,0.669,0.916,0.038,-4.961,0.254,0.00117,0.356,0.54,129.956,205186
10/29/21,2021,2step (The Remixes),2step (feat. Chefin),Ed Sheeran,0.731,0.642,0.0695,-5.106,0.209,0,0.242,0.504,94.961,164560
10/29/21,2021,2step (The Remixes),2step (feat. reezy),Ed Sheeran,0.734,0.68,0.058,-5.096,0.179,0,0.169,0.499,95.06,153334
10/29/21,2021,2step (The Remixes),2step (feat. Quevedo),Ed Sheeran,0.72,0.709,0.0827,-5.308,0.171,0,0.141,0.537,94.99,153254
10/29/21,2021,2step (The Remixes),2step (feat. Denise Chaila),Ed Sheeran,0.728,0.69,0.084,-4.788,0.21,0,0.113,0.492,94.986,153227
10/29/21,2021,2step (The Remixes),2step (feat. Armaan Malik),Ed Sheeran,0.747,0.667,0.0566,-5.181,0.18,0,0.146,0.508,95,153124
7/12/19,2019,No.6 Collaborations Project,Beautiful People (feat. Khalid),Ed Sheeran,0.64,0.647,0.186,-8.114,0.124,0,0.0801,0.546,92.979,197866
7/12/19,2019,No.6 Collaborations Project,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,0.857,0.621,0.0825,-6.376,0.148,0,0.0865,0.668,97.989,204466
7/12/19,2019,No.6 Collaborations Project,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,0.746,0.787,0.12,-6.373,0.212,0,0.0669,0.607,95.005,206186
7/12/19,2019,No.6 Collaborations Project,Take Me Back to London (feat. Stormzy),Ed Sheeran,0.885,0.762,0.216,-5.513,0.219,0,0.162,0.605,138.058,189733
7/12/19,2019,No.6 Collaborations Project,Best Part of Me (feat. YEBBA),Ed Sheeran,0.565,0.243,0.0317,-8.367,0.758,8.82E-06,0.285,0.239,81.655,243266
7/12/19,2019,No.6 Collaborations Project,I Don't Care (with Justin Bieber),Ed Sheeran,0.798,0.676,0.0442,-5.041,0.0902,0,0.0894,0.843,101.956,219946
7/12/19,2019,No.6 Collaborations Project,Antisocial (with Travis Scott),Ed Sheeran,0.716,0.823,0.0495,-5.313,0.132,0,0.361,0.91,151.957,161746
7/12/19,2019,No.6 Collaborations Project,Remember The Name (feat. Eminem & 50 Cent),Ed Sheeran,0.852,0.666,0.184,-6.923,0.135,0,0.798,0.726,91.046,207760
7/12/19,2019,No.6 Collaborations Project,Feels (feat. Young Thug & J Hus),Ed Sheeran,0.665,0.68,0.291,-4.898,0.112,0,0.096,0.69,91.667,150786
7/12/19,2019,No.6 Collaborations Project,Put It All on Me (feat. Ella Mai),Ed Sheeran,0.627,0.594,0.0479,-8.306,0.256,0,0.373,0.388,101.007,197093
7/12/19,2019,No.6 Collaborations Project,Nothing On You (feat. Paulo Londra & Dave),Ed Sheeran,0.747,0.649,0.218,-6.218,0.333,0,0.172,0.84,88.011,200733
7/12/19,2019,No.6 Collaborations Project,I Don't Want Your Money (feat. H.E.R.),Ed Sheeran,0.468,0.63,0.0843,-6.536,0.31,0,0.137,0.762,91.419,204506
7/12/19,2019,No.6 Collaborations Project,1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie),Ed Sheeran,0.778,0.589,0.269,-5.548,0.467,0,0.0902,0.513,98.001,212306
7/12/19,2019,No.6 Collaborations Project,Way To Break My Heart (feat. Skrillex),Ed Sheeran,0.726,0.731,0.159,-6.298,0.11,3.45E-06,0.0928,0.437,170.125,190293
7/12/19,2019,No.6 Collaborations Project,BLOW (with Chris Stapleton & Bruno Mars),Ed Sheeran,0.631,0.796,0.0401,-5.35,0.000245,0.0108,0.38,0.596,92.47,209120
3/3/17,2017,(Deluxe),Eraser,Ed Sheeran,0.64,0.812,0.0834,-5.647,0.086,0,0.0509,0.914,86.013,227426
3/3/17,2017,÷ (Deluxe),Castle on the Hill,Ed Sheeran,0.461,0.834,0.0989,-4.868,0.0232,1.14E-05,0.14,0.471,135.007,261153
3/3/17,2017,÷ (Deluxe),Dive,Ed Sheeran,0.761,0.386,0.0399,-6.158,0.355,0,0.0953,0.526,134.943,238440
3/3/17,2017,÷ (Deluxe),Shape of You,Ed Sheeran,0.825,0.652,0.0802,-3.183,0.581,0,0.0931,0.931,95.977,233712
3/3/17,2017,÷ (Deluxe),Perfect,Ed Sheeran,0.599,0.448,0.0232,-6.312,0.163,0,0.106,0.168,95.05,263400
3/3/17,2017,÷ (Deluxe),Galway Girl,Ed Sheeran,0.624,0.876,0.1,-3.374,0.0735,0,0.327,0.781,99.943,170826
3/3/17,2017,÷ (Deluxe),Happier,Ed Sheeran,0.522,0.385,0.0288,-7.355,0.536,0,0.135,0.236,89.792,207520
3/3/17,2017,÷ (Deluxe),New Man,Ed Sheeran,0.78,0.745,0.145,-3.97,0.0559,0,0.0595,0.862,94.026,189280
3/3/17,2017,÷ (Deluxe),Hearts Don't Break Around Here,Ed Sheeran,0.604,0.366,0.0267,-7.881,0.719,0,0.162,0.181,105.177,248413
3/3/17,2017,÷ (Deluxe),What Do I Know?,Ed Sheeran,0.838,0.492,0.038,-5.69,0.251,0,0.262,0.895,115.092,237333
3/3/17,2017,÷ (Deluxe),How Would You Feel (Paean),Ed Sheeran,0.617,0.439,0.0269,-5.63,0.424,0,0.127,0.242,139.979,280533
3/3/17,2017,÷ (Deluxe),Supermarket Flowers,Ed Sheeran,0.589,0.242,0.0442,-10.517,0.914,0,0.0887,0.257,89.749,221106
3/3/17,2017,÷ (Deluxe),Barcelona,Ed Sheeran,0.747,0.76,0.187,-4.294,0.448,0,0.153,0.682,99.975,191146
3/3/17,2017,÷ (Deluxe),Bibia Be Ye Ye,Ed Sheeran,0.738,0.677,0.0824,-5.121,0.52,0,0.133,0.882,127.067,176746
3/3/17,2017,÷ (Deluxe),Nancy Mulligan,Ed Sheeran,0.68,0.852,0.0349,-4.35,0.117,0,0.0866,0.858,101.993,179786
3/3/17,2017,÷ (Deluxe),Save Myself,Ed Sheeran,0.552,0.29,0.0448,-5.617,0.85,0,0.227,0.481,78.842,247106
11/13/15,2015,x (Wembley Edition),One,Ed Sheeran,0.464,0.321,0.0418,-11.12,0.877,0,0.0789,0.306,93.528,252760
11/13/15,2015,x (Wembley Edition),I'm a Mess,Ed Sheeran,0.697,0.377,0.0397,-7.755,0.556,0,0.0999,0.336,138.754,244573
11/13/15,2015,x (Wembley Edition),Sing,Ed Sheeran,0.818,0.67,0.0472,-4.451,0.304,1.22E-06,0.0601,0.939,119.988,235382
11/13/15,2015,x (Wembley Edition),Don't,Ed Sheeran,0.806,0.608,0.0659,-7.008,0.0113,0,0.635,0.849,95.049,219840
11/13/15,2015,x (Wembley Edition),Nina,Ed Sheeran,0.791,0.669,0.146,-7.189,0.175,0,0.33,0.809,92.013,225533
11/13/15,2015,x (Wembley Edition),Photograph,Ed Sheeran,0.614,0.379,0.0476,-10.48,0.607,0.000464,0.0986,0.201,107.989,258986
11/13/15,2015,x (Wembley Edition),Bloodstream,Ed Sheeran,0.66,0.316,0.0364,-11.567,0.529,0.000294,0.104,0.543,91.207,300253
11/13/15,2015,x (Wembley Edition),Tenerife Sea,Ed Sheeran,0.53,0.346,0.0376,-10.497,0.697,1.07E-05,0.105,0.359,121.876,241346
11/13/15,2015,x (Wembley Edition),Runaway,Ed Sheeran,0.767,0.449,0.0364,-7.158,0.024,0.000299,0.151,0.908,95.03,205133
11/13/15,2015,x (Wembley Edition),The Man,Ed Sheeran,0.759,0.725,0.158,-7.006,0.576,0,0.0771,0.619,87.467,250426
11/13/15,2015,x (Wembley Edition),Thinking out Loud,Ed Sheeran,0.781,0.445,0.0295,-6.061,0.474,0,0.184,0.591,78.998,281560
11/13/15,2015,x (Wembley Edition),Afire Love,Ed Sheeran,0.552,0.637,0.0445,-6.568,0.464,1.63E-05,0.136,0.333,97.97,314280
11/13/15,2015,x (Wembley Edition),Take It Back,Ed Sheeran,0.754,0.613,0.229,-6.342,0.318,0,0.335,0.904,113.196,208400
11/13/15,2015,x (Wembley Edition),Shirtsleeves,Ed Sheeran,0.752,0.76,0.0341,-5.34,0.319,0,0.335,0.752,107.034,190226
11/13/15,2015,x (Wembley Edition),Even My Dad Does Sometimes,Ed Sheeran,0.58,0.318,0.0279,-8.926,0.756,0.000171,0.117,0.295,129.757,228533
11/13/15,2015,x (Wembley Edition),I See Fire,Ed Sheeran,0.641,0.176,0.0349,-11.692,0.638,5.14E-06,0.252,0.297,76.031,299146
11/13/15,2015,x (Wembley Edition),English Rose,Ed Sheeran,0.579,0.649,0.0352,-6.522,0.0977,0,0.125,0.184,114.593,184173
11/13/15,2015,x (Wembley Edition),Touch and Go,Ed Sheeran,0.812,0.542,0.0444,-5.403,0.294,6.92E-05,0.141,0.733,110.268,240986
11/13/15,2015,x (Wembley Edition),New York,Ed Sheeran,0.728,0.461,0.0395,-8.726,0.707,0,0.113,0.474,86.014,235960
11/13/15,2015,x (Wembley Edition),Make It Rain,Ed Sheeran,0.618,0.239,0.0274,-8.371,0.791,0,0.1,0.327,96.846,404480
11/13/15,2015,x (Wembley Edition),Parting Glass - Live at Wembley Stadium,Ed Sheeran,0.389,0.369,0.0404,-6.886,0.598,0,0.96,0.541,102.625,195967
11/13/15,2015,x (Wembley Edition),Small Bump - Live at Wembley Stadium,Ed Sheeran,0.69,0.696,0.183,-7.432,0.219,0,0.958,0.237,125.735,302992
11/13/15,2015,x (Wembley Edition),Lay It All on Me (feat. Ed Sheeran),Ed Sheeran,0.669,0.747,0.0428,-7.108,0.141,0,0.185,0.483,122.531,242440
6/23/14,2014,5,"You Need Me, I Don't Need You",Ed Sheeran,0.689,0.563,0.275,-5.539,0.692,0,0.0579,0.819,129.517,245040
6/23/14,2014,5,So,Ed Sheeran,0.521,0.133,0.0431,-10.599,0.853,0,0.35,0.391,140.077,268760
6/23/14,2014,5,Be Like You,Ed Sheeran,0.671,0.388,0.0762,-6.516,0.715,0,0.192,0.59,105.869,218373
6/23/14,2014,5,The City,Ed Sheeran,0.689,0.369,0.357,-7.183,0.74,0,0.122,0.701,102.565,266280
6/23/14,2014,5,Sunburn,Ed Sheeran,0.533,0.17,0.0668,-11.342,0.842,5.03E-06,0.113,0.33,116.852,266053
6/23/14,2014,5,Let It Out,Ed Sheeran,0.731,0.603,0.0378,-7.656,0.645,0.011,0.147,0.619,96.973,231546
6/23/14,2014,5,Homeless,Ed Sheeran,0.754,0.636,0.193,-7.129,0.519,0,0.108,0.875,90.001,210746
6/23/14,2014,5,Little Bird,Ed Sheeran,0.826,0.485,0.0354,-7.424,0.569,0,0.107,0.278,104.011,226066
6/23/14,2014,5,Sofa,Ed Sheeran,0.646,0.65,0.0278,-6.491,0.14,9.65E-06,0.0999,0.52,100.05,199133
6/23/14,2014,5,One Night,Ed Sheeran,0.781,0.836,0.0658,-5.496,0.379,0,0.289,0.636,94.989,206440
6/23/14,2014,5,Firefly,Ed Sheeran,0.602,0.31,0.0373,-11.469,0.886,0.000142,0.105,0.36,159.917,254999
6/23/14,2014,5,The City - Live at Sticky Studios; Loose Change EP,Ed Sheeran,0.712,0.569,0.204,-6.032,0.507,0,0.412,0.837,105.032,306320
6/23/14,2014,5,Firefly - Bravado Dubstep Remix,Ed Sheeran,0.629,0.663,0.0283,-10.516,0.28,0.711,0.0811,0.49,139.982,269186
6/23/14,2014,5,Fall,Ed Sheeran,0.559,0.283,0.0323,-9.827,0.632,0.00127,0.126,0.188,82.552,163272
6/23/14,2014,5,Fire Alarms,Ed Sheeran,0.602,0.286,0.0296,-9.886,0.772,0,0.162,0.379,102.009,144013
6/23/14,2014,5,Where We Land,Ed Sheeran,0.68,0.248,0.031,-11.592,0.838,4.86E-06,0.0907,0.275,119.944,183000
6/23/14,2014,5,Cold Coffee,Ed Sheeran,0.544,0.529,0.0256,-6.753,0.453,0,0.131,0.403,92.936,254226
6/23/14,2014,5,She,Ed Sheeran,0.573,0.344,0.0361,-10.91,0.811,0,0.13,0.377,157.783,244653
6/23/14,2014,5,The A Team - Live at the Bedford,Ed Sheeran,0.402,0.339,0.0498,-9.574,0.728,0,0.833,0.496,83.194,322933
6/23/14,2014,5,Homeless - Live at the Bedford,Ed Sheeran,0.601,0.879,0.0945,-5.215,0.62,0,0.464,0.713,99.377,225013
6/23/14,2014,5,The City - Live at the Bedford,Ed Sheeran,0.602,0.8,0.0734,-5.91,0.545,0,0.656,0.81,109.921,307760
6/23/14,2014,5,Fall - Live at the Bedford,Ed Sheeran,0.494,0.0964,0.0532,-16.691,0.807,7.13E-05,0.936,0.393,86.676,151173
6/23/14,2014,5,Wake Me Up - Live at the Bedford,Ed Sheeran,0.616,0.141,0.532,-17.161,0.792,0,0.897,0.361,107.874,300680
6/23/14,2014,5,"You Need Me, I Don't Need You - Live at the Bedford",Ed Sheeran,0.506,0.911,0.23,-4.779,0.48,0,0.696,0.781,105.475,590333
6/23/14,2014,5,Lately (feat. Devlin),Ed Sheeran,0.718,0.82,0.103,-5.552,0.0928,0,0.391,0.329,90.013,271333
6/23/14,2014,5,You (feat. Wiley),Ed Sheeran,0.799,0.532,0.0707,-9.472,0.386,0.00017,0.0978,0.189,100.032,201586
6/23/14,2014,5,Family (feat. P Money),Ed Sheeran,0.476,0.704,0.278,-5.411,0.515,0,0.094,0.297,140.396,254906
6/23/14,2014,5,Radio (feat. JME),Ed Sheeran,0.693,0.833,0.263,-5.408,0.214,0,0.117,0.759,99.901,222653
6/23/14,2014,5,Little Lady (feat. Mikill Pane),Ed Sheeran,0.437,0.5,0.105,-7.103,0.731,0,0.157,0.437,85.293,328653
6/23/14,2014,5,Drown Me Out (feat. Ghetts) - + Ghetts,Ed Sheeran,0.511,0.91,0.116,-6.186,0.0282,0,0.127,0.426,140.147,261440
6/23/14,2014,5,"Nightmares (feat. Random Impulse, Sway & Wretch 32)",Ed Sheeran,0.855,0.678,0.052,-6.864,0.101,0.00232,0.0964,0.429,120.012,243000
6/23/14,2014,5,Goodbye to You (feat. Dot Rotten),Ed Sheeran,0.64,0.664,0.152,-7.812,0.267,0,0.329,0.275,140.007,330200
6/21/14,2014,x (Deluxe Edition),One,Ed Sheeran,0.464,0.321,0.0418,-11.12,0.877,0,0.0789,0.306,93.528,252760
6/21/14,2014,x (Deluxe Edition),I'm a Mess,Ed Sheeran,0.697,0.377,0.0397,-7.755,0.556,0,0.0999,0.336,138.754,244573
6/21/14,2014,x (Deluxe Edition),Sing,Ed Sheeran,0.818,0.67,0.0472,-4.451,0.304,1.22E-06,0.0601,0.939,119.988,235382
6/21/14,2014,x (Deluxe Edition),Don't,Ed Sheeran,0.806,0.608,0.0659,-7.008,0.0113,0,0.635,0.849,95.049,219840
6/21/14,2014,x (Deluxe Edition),Nina,Ed Sheeran,0.791,0.669,0.146,-7.189,0.175,0,0.33,0.809,92.013,225533
6/21/14,2014,x (Deluxe Edition),Photograph,Ed Sheeran,0.614,0.379,0.0476,-10.48,0.607,0.000464,0.0986,0.201,107.989,258986
6/21/14,2014,x (Deluxe Edition),Bloodstream,Ed Sheeran,0.66,0.316,0.0364,-11.567,0.529,0.000294,0.104,0.543,91.207,300253
6/21/14,2014,x (Deluxe Edition),Tenerife Sea,Ed Sheeran,0.53,0.346,0.0376,-10.497,0.697,1.07E-05,0.105,0.359,121.876,241346
6/21/14,2014,x (Deluxe Edition),Runaway,Ed Sheeran,0.767,0.449,0.0364,-7.158,0.024,0.000299,0.151,0.908,95.03,205133
6/21/14,2014,x (Deluxe Edition),The Man,Ed Sheeran,0.759,0.725,0.158,-7.006,0.576,0,0.0771,0.619,87.467,250426
6/21/14,2014,x (Deluxe Edition),Thinking out Loud,Ed Sheeran,0.781,0.445,0.0295,-6.061,0.474,0,0.184,0.591,78.998,281560
6/21/14,2014,x (Deluxe Edition),Afire Love,Ed Sheeran,0.552,0.637,0.0445,-6.568,0.464,1.63E-05,0.136,0.333,97.97,314280
6/21/14,2014,x (Deluxe Edition),Take It Back,Ed Sheeran,0.754,0.613,0.229,-6.342,0.318,0,0.335,0.904,113.196,208400
6/21/14,2014,x (Deluxe Edition),Shirtsleeves,Ed Sheeran,0.752,0.76,0.0341,-5.34,0.319,0,0.335,0.752,107.034,190226
6/21/14,2014,x (Deluxe Edition),Even My Dad Does Sometimes,Ed Sheeran,0.58,0.318,0.0279,-8.926,0.756,0.000171,0.117,0.295,129.757,228533
6/21/14,2014,x (Deluxe Edition),I See Fire,Ed Sheeran,0.641,0.176,0.0349,-11.692,0.638,5.14E-06,0.252,0.297,76.031,299146
12/9/11,2011,Loose Change,Let It Out,Ed Sheeran,0.731,0.603,0.0378,-7.656,0.645,0.011,0.147,0.619,96.973,231546
12/9/11,2011,Loose Change,Homeless,Ed Sheeran,0.754,0.636,0.193,-7.129,0.519,0,0.108,0.875,90.001,210746
12/9/11,2011,Loose Change,Little Bird,Ed Sheeran,0.826,0.485,0.0354,-7.424,0.569,0,0.107,0.278,104.011,226066
12/9/11,2011,Loose Change,Sofa,Ed Sheeran,0.646,0.65,0.0278,-6.491,0.14,9.65E-06,0.0999,0.52,100.05,199133
12/9/11,2011,Loose Change,One Night,Ed Sheeran,0.781,0.836,0.0658,-5.496,0.379,0,0.289,0.636,94.989,206440
12/9/11,2011,Loose Change,Firefly,Ed Sheeran,0.602,0.31,0.0373,-11.469,0.886,0.000142,0.105,0.36,159.917,254999
12/9/11,2011,Loose Change,The City - Live at Sticky Studios; Loose Change EP,Ed Sheeran,0.712,0.569,0.204,-6.032,0.507,0,0.412,0.837,105.032,306320
12/9/11,2011,Loose Change,Firefly - Bravado Dubstep Remix,Ed Sheeran,0.629,0.663,0.0283,-10.516,0.28,0.711,0.0811,0.49,139.982,269186
12/9/11,2011,Live at the Bedford,The A Team - Live at the Bedford,Ed Sheeran,0.402,0.339,0.0498,-9.574,0.728,0,0.833,0.496,83.194,322933
12/9/11,2011,Live at the Bedford,Homeless - Live at the Bedford,Ed Sheeran,0.601,0.879,0.0945,-5.215,0.62,0,0.464,0.713,99.377,225013
12/9/11,2011,Live at the Bedford,The City - Live at the Bedford,Ed Sheeran,0.602,0.8,0.0734,-5.91,0.545,0,0.656,0.81,109.921,307760
12/9/11,2011,Live at the Bedford,Fall - Live at the Bedford,Ed Sheeran,0.494,0.0964,0.0532,-16.691,0.807,7.13E-05,0.936,0.393,86.676,151173
12/9/11,2011,Live at the Bedford,Wake Me Up - Live at the Bedford,Ed Sheeran,0.616,0.141,0.532,-17.161,0.792,0,0.897,0.361,107.874,300680
12/9/11,2011,Live at the Bedford,"You Need Me, I Don't Need You - Live at the Bedford",Ed Sheeran,0.506,0.911,0.23,-4.779,0.48,0,0.696,0.781,105.475,590333
9/9/11,2011,No.5 Collaborations Project,Lately (feat. Devlin),Ed Sheeran,0.718,0.82,0.103,-5.552,0.0928,0,0.391,0.329,90.013,271333
9/9/11,2011,No.5 Collaborations Project,You (feat. Wiley),Ed Sheeran,0.799,0.532,0.0707,-9.472,0.386,0.00017,0.0978,0.189,100.032,201586
9/9/11,2011,No.5 Collaborations Project,Family (feat. P Money),Ed Sheeran,0.476,0.704,0.278,-5.411,0.515,0,0.094,0.297,140.396,254906
9/9/11,2011,No.5 Collaborations Project,Radio (feat. JME),Ed Sheeran,0.693,0.833,0.263,-5.408,0.214,0,0.117,0.759,99.901,222653
9/9/11,2011,No.5 Collaborations Project,Little Lady (feat. Mikill Pane),Ed Sheeran,0.437,0.5,0.105,-7.103,0.731,0,0.157,0.437,85.293,328653
9/9/11,2011,No.5 Collaborations Project,Drown Me Out (feat. Ghetts) - + Ghetts,Ed Sheeran,0.511,0.91,0.116,-6.186,0.0282,0,0.127,0.426,140.147,261440
9/9/11,2011,No.5 Collaborations Project,"Nightmares (feat. Random Impulse, Sway & Wretch 32)",Ed Sheeran,0.855,0.678,0.052,-6.864,0.101,0.00232,0.0964,0.429,120.012,243000
9/9/11,2011,No.5 Collaborations Project,Goodbye to You (feat. Dot Rotten),Ed Sheeran,0.64,0.664,0.152,-7.812,0.267,0,0.329,0.275,140.007,330200
9/9/11,2011,+,The A Team,Ed Sheeran,0.642,0.289,0.0367,-9.918,0.669,0,0.18,0.407,84.996,258373
9/9/11,2011,+,Drunk,Ed Sheeran,0.733,0.652,0.0696,-9.101,0.419,2.37E-06,0.521,0.459,99.998,200093
9/9/11,2011,+,U.N.I.,Ed Sheeran,0.422,0.405,0.101,-11.126,0.323,0,0.15,0.578,74.13,228600
9/9/11,2011,+,Grade 8,Ed Sheeran,0.74,0.807,0.0363,-9.976,0.0446,4.02E-05,0.0538,0.781,101.042,179880
9/9/11,2011,+,Wake Me Up,Ed Sheeran,0.616,0.209,0.406,-13.43,0.902,0,0.139,0.336,86.891,229613
9/9/11,2011,+,Small Bump,Ed Sheeran,0.81,0.436,0.0717,-12.683,0.689,0.000151,0.11,0.446,119.973,259413
9/9/11,2011,+,This,Ed Sheeran,0.588,0.0929,0.0443,-14.301,0.95,0.00539,0.128,0.502,152.139,195840
9/9/11,2011,+,The City,Ed Sheeran,0.74,0.505,0.0674,-10.338,0.0415,6.82E-05,0.0707,0.646,97.994,234333
9/9/11,2011,+,Lego House,Ed Sheeran,0.592,0.637,0.0992,-8.48,0.562,0,0.13,0.565,159.701,185093
9/9/11,2011,+,"You Need Me, I Don't Need You",Ed Sheeran,0.749,0.837,0.0512,-8.837,0.162,0,0.525,0.927,103.483,220413
9/9/11,2011,+,Kiss Me,Ed Sheeran,0.589,0.227,0.0498,-16.67,0.64,0.00469,0.0248,0.182,74.993,280853
9/9/11,2011,+,Give Me Love,Ed Sheeran,0.526,0.328,0.0461,-9.864,0.694,0,0.112,0.11,116.068,526386
9/9/11,2011,+,Autumn Leaves - Deluxe Edition,Ed Sheeran,0.555,0.257,0.0299,-12.637,0.892,1.42E-06,0.124,0.431,89.013,200755
9/9/11,2011,+,Little Bird - Deluxe Edition,Ed Sheeran,0.843,0.425,0.0352,-8.676,0.565,0,0.102,0.284,104.02,224528
9/9/11,2011,+,Gold Rush - Deluxe Edition,Ed Sheeran,0.74,0.248,0.109,-12.659,0.729,0,0.141,0.889,83.786,243162
9/9/11,2011,+,Sunburn - Deluxe Edition,Ed Sheeran,0.464,0.098,0.0376,-12.119,0.865,0,0.101,0.234,78.864,275882
